in:Window placement,in:Orientation,out:% of Total Area,out:Panel Number_1,out:Panel Number_2,out:Panel Number_3,out:Panel Number_4,img
80,180,0.644444,16,0,10,2,Windowplacement80_Orientation180.png
0,180,0.666667,0,9,3,19,Windowplacement0_Orientation180.png
382,180,0.716667,10,3,11,6,Windowplacement382_Orientation180.png
218,180,0.727778,0,2,4,7,Windowplacement218_Orientation180.png
349,180,0.65,0,1,18,10,Windowplacement349_Orientation180.png
228,180,0.727778,9,3,6,7,Windowplacement228_Orientation180.png
179,180,0.744444,3,11,5,4,Windowplacement179_Orientation180.png
336,180,0.711111,0,10,4,5,Windowplacement336_Orientation180.png
369,180,0.672222,8,1,19,4,Windowplacement369_Orientation180.png
73,180,0.711111,16,9,11,4,Windowplacement73_Orientation180.png
268,180,0.688889,17,1,4,6,Windowplacement268_Orientation180.png
180,180,0.694444,1,10,4,5,Windowplacement180_Orientation180.png
486,180,0.744444,8,11,4,5,Windowplacement486_Orientation180.png
491,180,0.688889,2,18,10,5,Windowplacement491_Orientation180.png
23,180,0.766667,0,9,4,7,Windowplacement23_Orientation180.png
265,180,0.661111,17,2,19,4,Windowplacement265_Orientation180.png
107,180,0.694444,4,13,6,7,Windowplacement107_Orientation180.png
121,180,0.705556,0,3,4,5,Windowplacement121_Orientation180.png
59,180,0.7,2,3,5,6,Windowplacement59_Orientation180.png
187,180,0.711111,0,10,4,7,Windowplacement187_Orientation180.png
215,180,0.705556,17,10,4,5,Windowplacement215_Orientation180.png
240,180,0.722222,17,10,1,3,Windowplacement240_Orientation180.png
317,180,0.688889,17,9,3,19,Windowplacement317_Orientation180.png
32,225,0.6,9,12,13,14,Windowplacement32_Orientation225.png
394,225,0.616667,16,18,14,6,Windowplacement394_Orientation225.png
389,225,0.561111,3,12,4,15,Windowplacement389_Orientation225.png
361,225,0.555556,17,18,19,6,Windowplacement361_Orientation225.png
77,225,0.533333,0,17,19,6,Windowplacement77_Orientation225.png
144,225,0.566667,17,18,11,6,Windowplacement144_Orientation225.png
189,225,0.705556,6,12,14,15,Windowplacement189_Orientation225.png
357,225,0.688889,17,10,13,14,Windowplacement357_Orientation225.png
437,225,0.566667,3,4,14,15,Windowplacement437_Orientation225.png
191,225,0.677778,0,18,6,15,Windowplacement191_Orientation225.png
220,225,0.661111,0,18,12,5,Windowplacement220_Orientation225.png
301,225,0.694444,9,18,13,14,Windowplacement301_Orientation225.png
66,225,0.533333,0,16,18,17,Windowplacement66_Orientation225.png
263,225,0.644444,0,17,6,14,Windowplacement263_Orientation225.png
483,225,0.716667,18,12,4,14,Windowplacement483_Orientation225.png
334,225,0.644444,0,19,12,6,Windowplacement334_Orientation225.png
213,225,0.611111,9,4,12,13,Windowplacement213_Orientation225.png
380,225,0.7,16,17,13,6,Windowplacement380_Orientation225.png
393,225,0.711111,16,18,13,6,Windowplacement393_Orientation225.png
192,225,0.661111,0,19,6,15,Windowplacement192_Orientation225.png
288,225,0.744444,18,12,13,15,Windowplacement288_Orientation225.png
219,225,0.55,0,19,11,5,Windowplacement219_Orientation225.png
190,225,0.705556,0,13,14,15,Windowplacement190_Orientation225.png
100,225,0.577778,0,17,11,5,Windowplacement100_Orientation225.png
375,225,0.666667,16,18,6,15,Windowplacement375_Orientation225.png
257,225,0.722222,8,17,4,5,Windowplacement257_Orientation225.png
131,225,0.75,2,13,5,6,Windowplacement131_Orientation225.png
80,225,0.7,16,0,10,2,Windowplacement80_Orientation225.png
0,225,0.716667,0,9,3,19,Windowplacement0_Orientation225.png
382,225,0.722222,10,3,11,6,Windowplacement382_Orientation225.png
218,225,0.683333,0,2,4,7,Windowplacement218_Orientation225.png
349,225,0.683333,0,1,18,10,Windowplacement349_Orientation225.png
228,225,0.722222,9,3,6,7,Windowplacement228_Orientation225.png
179,225,0.705556,3,11,5,4,Windowplacement179_Orientation225.png
336,225,0.705556,0,10,4,5,Windowplacement336_Orientation225.png
369,225,0.738889,8,1,19,4,Windowplacement369_Orientation225.png
73,225,0.75,16,9,11,4,Windowplacement73_Orientation225.png
268,225,0.655556,17,1,4,6,Windowplacement268_Orientation225.png
180,225,0.744444,1,10,4,5,Windowplacement180_Orientation225.png
486,225,0.733333,8,11,4,5,Windowplacement486_Orientation225.png
491,225,0.711111,2,18,10,5,Windowplacement491_Orientation225.png
23,225,0.733333,0,9,4,7,Windowplacement23_Orientation225.png
265,225,0.694444,17,2,19,4,Windowplacement265_Orientation225.png
107,225,0.766667,4,13,6,7,Windowplacement107_Orientation225.png
121,225,0.722222,0,3,4,5,Windowplacement121_Orientation225.png
59,225,0.694444,2,3,5,6,Windowplacement59_Orientation225.png
187,225,0.722222,0,10,4,7,Windowplacement187_Orientation225.png
215,225,0.744444,17,10,4,5,Windowplacement215_Orientation225.png
240,225,0.761111,17,10,1,3,Windowplacement240_Orientation225.png
317,225,0.744444,17,9,3,19,Windowplacement317_Orientation225.png
32,270,0.65,9,12,13,14,Windowplacement32_Orientation270.png
394,270,0.772222,16,18,14,6,Windowplacement394_Orientation270.png
389,270,0.627778,3,12,4,15,Windowplacement389_Orientation270.png
361,270,0.666667,17,18,19,6,Windowplacement361_Orientation270.png
77,270,0.638889,0,17,19,6,Windowplacement77_Orientation270.png
144,270,0.605556,17,18,11,6,Windowplacement144_Orientation270.png
189,270,0.788889,6,12,14,15,Windowplacement189_Orientation270.png
357,270,0.75,17,10,13,14,Windowplacement357_Orientation270.png
437,270,0.633333,3,4,14,15,Windowplacement437_Orientation270.png
191,270,0.722222,0,18,6,15,Windowplacement191_Orientation270.png
220,270,0.733333,0,18,12,5,Windowplacement220_Orientation270.png
301,270,0.711111,9,18,13,14,Windowplacement301_Orientation270.png
66,270,0.644444,0,16,18,17,Windowplacement66_Orientation270.png
263,270,0.744444,0,17,6,14,Windowplacement263_Orientation270.png
483,270,0.788889,18,12,4,14,Windowplacement483_Orientation270.png
334,270,0.711111,0,19,12,6,Windowplacement334_Orientation270.png
213,270,0.627778,9,4,12,13,Windowplacement213_Orientation270.png
380,270,0.766667,16,17,13,6,Windowplacement380_Orientation270.png
393,270,0.783333,16,18,13,6,Windowplacement393_Orientation270.png
192,270,0.766667,0,19,6,15,Windowplacement192_Orientation270.png
288,270,0.766667,18,12,13,15,Windowplacement288_Orientation270.png
219,270,0.611111,0,19,11,5,Windowplacement219_Orientation270.png
190,270,0.766667,0,13,14,15,Windowplacement190_Orientation270.png
100,270,0.672222,0,17,11,5,Windowplacement100_Orientation270.png
375,270,0.744444,16,18,6,15,Windowplacement375_Orientation270.png
257,270,0.783333,8,17,4,5,Windowplacement257_Orientation270.png
131,270,0.772222,2,13,5,6,Windowplacement131_Orientation270.png
80,270,0.75,16,0,10,2,Windowplacement80_Orientation270.png
0,270,0.744444,0,9,3,19,Windowplacement0_Orientation270.png
382,270,0.711111,10,3,11,6,Windowplacement382_Orientation270.png
218,270,0.705556,0,2,4,7,Windowplacement218_Orientation270.png
349,270,0.733333,0,1,18,10,Windowplacement349_Orientation270.png
228,270,0.694444,9,3,6,7,Windowplacement228_Orientation270.png
179,270,0.7,3,11,5,4,Windowplacement179_Orientation270.png
336,270,0.727778,0,10,4,5,Windowplacement336_Orientation270.png
369,270,0.733333,8,1,19,4,Windowplacement369_Orientation270.png
73,270,0.761111,16,9,11,4,Windowplacement73_Orientation270.png
268,270,0.727778,17,1,4,6,Windowplacement268_Orientation270.png
180,270,0.744444,1,10,4,5,Windowplacement180_Orientation270.png
486,270,0.733333,8,11,4,5,Windowplacement486_Orientation270.png
491,270,0.783333,2,18,10,5,Windowplacement491_Orientation270.png
23,270,0.733333,0,9,4,7,Windowplacement23_Orientation270.png
265,270,0.805556,17,2,19,4,Windowplacement265_Orientation270.png
107,270,0.75,4,13,6,7,Windowplacement107_Orientation270.png
121,270,0.744444,0,3,4,5,Windowplacement121_Orientation270.png
59,270,0.727778,2,3,5,6,Windowplacement59_Orientation270.png
187,270,0.688889,0,10,4,7,Windowplacement187_Orientation270.png
215,270,0.811111,17,10,4,5,Windowplacement215_Orientation270.png
240,270,0.761111,17,10,1,3,Windowplacement240_Orientation270.png
317,270,0.788889,17,9,3,19,Windowplacement317_Orientation270.png
32,315,0.594444,9,12,13,14,Windowplacement32_Orientation315.png
394,315,0.744444,16,18,14,6,Windowplacement394_Orientation315.png
389,315,0.538889,3,12,4,15,Windowplacement389_Orientation315.png
361,315,0.6,17,18,19,6,Windowplacement361_Orientation315.png
77,315,0.588889,0,17,19,6,Windowplacement77_Orientation315.png
144,315,0.577778,17,18,11,6,Windowplacement144_Orientation315.png
189,315,0.666667,6,12,14,15,Windowplacement189_Orientation315.png
357,315,0.727778,17,10,13,14,Windowplacement357_Orientation315.png
437,315,0.561111,3,4,14,15,Windowplacement437_Orientation315.png
191,315,0.655556,0,18,6,15,Windowplacement191_Orientation315.png
220,315,0.655556,0,18,12,5,Windowplacement220_Orientation315.png
301,315,0.711111,9,18,13,14,Windowplacement301_Orientation315.png
66,315,0.561111,0,16,18,17,Windowplacement66_Orientation315.png
263,315,0.677778,0,17,6,14,Windowplacement263_Orientation315.png
483,315,0.633333,18,12,4,14,Windowplacement483_Orientation315.png
334,315,0.688889,0,19,12,6,Windowplacement334_Orientation315.png
213,315,0.577778,9,4,12,13,Windowplacement213_Orientation315.png
380,315,0.733333,16,17,13,6,Windowplacement380_Orientation315.png
393,315,0.738889,16,18,13,6,Windowplacement393_Orientation315.png
192,315,0.711111,0,19,6,15,Windowplacement192_Orientation315.png
288,315,0.661111,18,12,13,15,Windowplacement288_Orientation315.png
219,315,0.577778,0,19,11,5,Windowplacement219_Orientation315.png
190,315,0.677778,0,13,14,15,Windowplacement190_Orientation315.png
100,315,0.561111,0,17,11,5,Windowplacement100_Orientation315.png
375,315,0.738889,16,18,6,15,Windowplacement375_Orientation315.png
257,315,0.75,8,17,4,5,Windowplacement257_Orientation315.png
131,315,0.744444,2,13,5,6,Windowplacement131_Orientation315.png
80,315,0.716667,16,0,10,2,Windowplacement80_Orientation315.png
0,315,0.75,0,9,3,19,Windowplacement0_Orientation315.png
382,315,0.744444,10,3,11,6,Windowplacement382_Orientation315.png
218,315,0.727778,0,2,4,7,Windowplacement218_Orientation315.png
349,315,0.722222,0,1,18,10,Windowplacement349_Orientation315.png
228,315,0.716667,9,3,6,7,Windowplacement228_Orientation315.png
179,315,0.722222,3,11,5,4,Windowplacement179_Orientation315.png
336,315,0.738889,0,10,4,5,Windowplacement336_Orientation315.png
369,315,0.711111,8,1,19,4,Windowplacement369_Orientation315.png
73,315,0.744444,16,9,11,4,Windowplacement73_Orientation315.png
268,315,0.694444,17,1,4,6,Windowplacement268_Orientation315.png
180,315,0.688889,1,10,4,5,Windowplacement180_Orientation315.png
486,315,0.694444,8,11,4,5,Windowplacement486_Orientation315.png
491,315,0.738889,2,18,10,5,Windowplacement491_Orientation315.png
23,315,0.711111,0,9,4,7,Windowplacement23_Orientation315.png
265,315,0.755556,17,2,19,4,Windowplacement265_Orientation315.png
107,315,0.755556,4,13,6,7,Windowplacement107_Orientation315.png
121,315,0.727778,0,3,4,5,Windowplacement121_Orientation315.png
59,315,0.727778,2,3,5,6,Windowplacement59_Orientation315.png
187,315,0.75,0,10,4,7,Windowplacement187_Orientation315.png
215,315,0.761111,17,10,4,5,Windowplacement215_Orientation315.png
240,315,0.75,17,10,1,3,Windowplacement240_Orientation315.png
317,315,0.783333,17,9,3,19,Windowplacement317_Orientation315.png
32,360,0.472222,9,12,13,14,Windowplacement32_Orientation360.png
394,360,0.466667,16,18,14,6,Windowplacement394_Orientation360.png
389,360,0.483333,3,12,4,15,Windowplacement389_Orientation360.png
361,360,0.45,17,18,19,6,Windowplacement361_Orientation360.png
77,360,0.494444,0,17,19,6,Windowplacement77_Orientation360.png
144,360,0.472222,17,18,11,6,Windowplacement144_Orientation360.png
189,360,0.505556,6,12,14,15,Windowplacement189_Orientation360.png
357,360,0.511111,17,10,13,14,Windowplacement357_Orientation360.png
437,360,0.472222,3,4,14,15,Windowplacement437_Orientation360.png
191,360,0.538889,0,18,6,15,Windowplacement191_Orientation360.png
220,360,0.566667,0,18,12,5,Windowplacement220_Orientation360.png
301,360,0.527778,9,18,13,14,Windowplacement301_Orientation360.png
66,360,0.466667,0,16,18,17,Windowplacement66_Orientation360.png
263,360,0.488889,0,17,6,14,Windowplacement263_Orientation360.png
483,360,0.516667,18,12,4,14,Windowplacement483_Orientation360.png
334,360,0.494444,0,19,12,6,Windowplacement334_Orientation360.png
213,360,0.483333,9,4,12,13,Windowplacement213_Orientation360.png
380,360,0.533333,16,17,13,6,Windowplacement380_Orientation360.png
393,360,0.522222,16,18,13,6,Windowplacement393_Orientation360.png
192,360,0.538889,0,19,6,15,Windowplacement192_Orientation360.png
288,360,0.494444,18,12,13,15,Windowplacement288_Orientation360.png
219,360,0.511111,0,19,11,5,Windowplacement219_Orientation360.png
190,360,0.527778,0,13,14,15,Windowplacement190_Orientation360.png
100,360,0.516667,0,17,11,5,Windowplacement100_Orientation360.png
375,360,0.511111,16,18,6,15,Windowplacement375_Orientation360.png
257,360,0.705556,8,17,4,5,Windowplacement257_Orientation360.png
131,360,0.722222,2,13,5,6,Windowplacement131_Orientation360.png
80,360,0.711111,16,0,10,2,Windowplacement80_Orientation360.png
0,360,0.711111,0,9,3,19,Windowplacement0_Orientation360.png
382,360,0.705556,10,3,11,6,Windowplacement382_Orientation360.png
218,360,0.694444,0,2,4,7,Windowplacement218_Orientation360.png
349,360,0.683333,0,1,18,10,Windowplacement349_Orientation360.png
228,360,0.7,9,3,6,7,Windowplacement228_Orientation360.png
179,360,0.7,3,11,5,4,Windowplacement179_Orientation360.png
336,360,0.733333,0,10,4,5,Windowplacement336_Orientation360.png
369,360,0.705556,8,1,19,4,Windowplacement369_Orientation360.png
73,360,0.722222,16,9,11,4,Windowplacement73_Orientation360.png
268,360,0.705556,17,1,4,6,Windowplacement268_Orientation360.png
180,360,0.722222,1,10,4,5,Windowplacement180_Orientation360.png
486,360,0.727778,8,11,4,5,Windowplacement486_Orientation360.png
491,360,0.722222,2,18,10,5,Windowplacement491_Orientation360.png
23,360,0.761111,0,9,4,7,Windowplacement23_Orientation360.png
265,360,0.722222,17,2,19,4,Windowplacement265_Orientation360.png
107,360,0.694444,4,13,6,7,Windowplacement107_Orientation360.png
121,360,0.733333,0,3,4,5,Windowplacement121_Orientation360.png
59,360,0.744444,2,3,5,6,Windowplacement59_Orientation360.png
187,360,0.733333,0,10,4,7,Windowplacement187_Orientation360.png
215,360,0.755556,17,10,4,5,Windowplacement215_Orientation360.png
240,360,0.733333,17,10,1,3,Windowplacement240_Orientation360.png
317,360,0.744444,17,9,3,19,Windowplacement317_Orientation360.png
